"id";"nom";"codepostal";"longitude";"latitude"
"saint-chamas";"Saint-Chamas";"13250";5.03333;43.55
"saint-mitre-les-remparts";"Saint-Mitre-les-Remparts";"13920";5.01667;43.45
"rognac";"Rognac";"13340";5.23333;43.4833
"plan-de-cuques";"Plan-de-Cuques";"13380";5.46667;43.35
"arles";"Arles";"13104-13123-13129-13200-13280";4.63333;43.6667
"venelles";"Venelles";"13770";5.48333;43.6
"aubagne";"Aubagne";"13400";5.56667;43.2833
"martigues";"Martigues";"13117-13500";5.05;43.4
"port-de-bouc";"Port-de-Bouc";"13110";4.98333;43.4
"gignac-la-nerthe";"Gignac-la-Nerthe";"13180";5.23333;43.3917
"vitrolles-13";"Vitrolles";"13127";5.25;43.4667
"tarascon";"Tarascon";"13150";4.66667;43.8
"septemes-les-vallons";"Septèmes-les-Vallons";"13240";5.36667;43.4
"sausset-les-pins";"Sausset-les-Pins";"13960";5.11667;43.3333
"miramas";"Miramas";"13140";5;43.5833
"fuveau";"Fuveau";"13710";5.56667;43.45
"roquevaire";"Roquevaire";"13360";5.6;43.35
"fos-sur-mer";"Fos-sur-Mer";"13270";4.95;43.4333
"meyreuil";"Meyreuil";"13590";5.5;43.4833
"pennes-mirabeau";"Pennes-Mirabeau";"13170";5.31667;43.4083
"pelissanne";"Pélissanne";"13330";5.15;43.6333
"ciotat";"La Ciotat";"13600";5.6;43.1667
"penne-sur-huveaune";"La Penne-sur-Huveaune";"13821";5.51667;43.2833
"trets";"Trets";"13530";5.68333;43.45
"gemenos";"Gémenos";"13420";5.63333;43.3
"carry-le-rouet";"Carry-le-Rouet";"13620";5.15;43.3333
"saint-martin-de-crau";"Saint-Martin-de-Crau";"13310";4.81667;43.6333
"ensues-la-redonne";"Ensuès-la-Redonne";"13820";5.2;43.35
"marignane";"Marignane";"13700";5.21667;43.4167
"simiane-collongue";"Simiane-Collongue";"13109";5.43333;43.4167
"lancon-provence";"Lançon-Provence";"13680";5.13333;43.5833
"lambesc";"Lambesc";"13410";5.26667;43.65
"carnoux-en-provence";"Carnoux-en-Provence";"13470";5.56445;43.2564
"eyguieres";"Eyguières";"13430";5.03333;43.7
"velaux";"Velaux";"13880";5.26667;43.5167
"gardanne";"Gardanne";"13120";5.46667;43.45
"berre-l-etang";"Berre-l'Étang";"13130";5.18333;43.4667
"auriol";"Auriol";"13390";5.63333;43.3833
"chateauneuf-les-martigues";"Châteauneuf-les-Martigues";"13220";5.16667;43.3833
"blainville-sur-orne";"Blainville-sur-Orne";"14550";-0.3;49.2333
"ouistreham";"Ouistreham";"14150";-0.25;49.2833
"vire-14";"Vire";"14500";-0.883333;48.8333
"ifs-14";"Ifs";"14123";-0.35;49.1333
"conde-sur-noireau";"Condé-sur-Noireau";"14110";-0.55;48.85
"colombelles";"Colombelles";"14460";-0.3;49.2
"lisieux";"Lisieux";"14100";0.233333;49.15
"falaise-14";"Falaise";"14700";-0.2;48.9
"bayeux";"Bayeux";"14400";-0.7;49.2667
"mondeville-14";"Mondeville";"14120";-0.316667;49.1667
"herouville-saint-clair";"Hérouville-Saint-Clair";"14200";-0.316667;49.2
"caen";"Caen";"14000";-0.35;49.1833
"dives-sur-mer";"Dives-sur-Mer";"14160";-0.1;49.2833
"honfleur";"Honfleur";"14600";0.233333;49.4167
"aurillac";"Aurillac";"15000";2.45;44.9167
"saint-flour-15";"Saint-Flour";"15100";3.09278;45.0337
"arpajon-sur-cere";"Arpajon-sur-Cère";"15130";2.46667;44.9
"soyaux";"Soyaux";"16800";0.2;45.65
"couronne";"La Couronne";"16400";0.1;45.6167
"saint-yrieix-sur-charente";"Saint-Yrieix-sur-Charente";"16710";0.116667;45.6833
"gond-pontouvre";"Gond-Pontouvre";"16160";0.166111;45.6692
"ruelle-sur-touvre";"Ruelle-sur-Touvre";"16600";0.233333;45.6833
"cognac";"Cognac";"16100";-0.333333;45.7
"angouleme";"Angoulême";"16000";0.15;45.65
"champniers-16";"Champniers";"16430";0.2;45.7167
"isle-d-espagnac";"L'Isle-d'Espagnac";"16340";0.2;45.6667
"saint-pierre-d-oleron";"Saint-Pierre-d'Oléron";"17310";-1.31667;45.95
"surgeres";"Surgères";"17700";-0.75;46.1
"perigny-17";"Périgny";"17180";-1.08333;46.15
"saintes";"Saintes";"17100";-0.633333;45.75
"nieul-sur-mer";"Nieul-sur-Mer";"17137";-1.16667;46.2
"saujon";"Saujon";"17600";-0.916667;45.6667
"rochelle-17";"La Rochelle";"17000";-1.15;46.1667
"aytre";"Aytré";"17440";-1.1;46.1333
"royan";"Royan";"17200";-1.03333;45.6333
"dompierre-sur-mer";"Dompierre-sur-Mer";"17139";-1.06667;46.1833
"saint-jean-d-angely";"Saint-Jean-d'Angély";"17400";-0.516667;45.95
"marennes-17";"Marennes";"17320";-1.11667;45.8167
"tonnay-charente";"Tonnay-Charente";"17430";-0.9;45.95
"rochefort-17";"Rochefort";"17300";-0.983333;45.9333
"lagord";"Lagord";"17140";-1.13333;46.1833
"saint-georges-de-didonne";"Saint-Georges-de-Didonne";"17110";-1;45.6
"chatelaillon-plage";"Châtelaillon-Plage";"17340";-1.08333;46.0667
"puilboreau";"Puilboreau";"17138";-1.1;46.1833
"saint-doulchard";"Saint-Doulchard";"18230";2.35;47.1
"saint-amand-montrond";"Saint-Amand-Montrond";"18200";2.50555;46.7236
"vierzon";"Vierzon";"18100";2.08333;47.2167
"mehun-sur-yevre";"Mehun-sur-Yèvre";"18500";2.21667;47.15
"saint-florent-sur-cher";"Saint-Florent-sur-Cher";"18400";2.25;46.9833
"bourges";"Bourges";"18000";2.4;47.0833
"aubigny-sur-nere";"Aubigny-sur-Nère";"18700";2.43333;47.4833
"tulle";"Tulle";"19000";1.76667;45.2667
"ussel-19";"Ussel";"19200";2.31667;45.55
"malemort-sur-correze";"Malemort-sur-Corrèze";"19360";1.55;45.1667
"brive-la-gaillarde";"Brive-la-Gaillarde";"19100";1.53333;45.15
"quetigny";"Quetigny";"21800";5.11667;47.3167
"montbard";"Montbard";"21500";4.33333;47.6167
"nuits-saint-georges";"Nuits-Saint-Georges";"21700";4.95;47.1333
"chenove";"Chenôve";"21300";5;47.2833
"beaune";"Beaune";"21200";4.83333;47.0333
"dijon";"Dijon";"21000-21100";5.01667;47.3167
"chatillon-sur-seine";"Châtillon-sur-Seine";"21400";4.55;47.85
"fontaine-les-dijon";"Fontaine-lès-Dijon";"21121";5.01917;47.3434
"talant";"Talant";"21240";5;47.3167
"marsannay-la-cote";"Marsannay-la-Côte";"21160";4.98333;47.2667
"genlis";"Genlis";"21110";5.21667;47.2333
"auxonne";"Auxonne";"21130";5.38333;47.2
"saint-apollinaire-21";"Saint-Apollinaire";"21850";5.08333;47.3333
"chevigny-saint-sauveur";"Chevigny-Saint-Sauveur";"21800";5.13333;47.3
"longvic";"Longvic";"21600";5.06667;47.2833
"ploufragan";"Ploufragan";"22440";-2.78333;48.4833
"perros-guirec";"Perros-Guirec";"22700";-3.45;48.8167
"paimpol";"Paimpol";"22500";-3.05;48.7667
"loudeac";"Loudéac";"22600";-2.75;48.1667
"saint-brieuc";"Saint-Brieuc";"22000";-2.78333;48.5167
"ploumagoar";"Ploumagoar";"22970";-3.13333;48.55
"guingamp";"Guingamp";"22200";-3.15;48.55
"pordic";"Pordic";"22590";-2.81667;48.5833
"lannion";"Lannion";"22300";-3.46667;48.7333
"langueux";"Langueux";"22360";-2.71667;48.5
"tregueux";"Trégueux";"22950";1.26195;48.4906
"dinan";"Dinan";"22100";-2.23639;48.4564
"lamballe";"Lamballe";"22400";-2.51667;48.4667
"pledran";"Plédran";"22960";-2.75;48.45
"plerin";"Plérin";"22190";-2.78333;48.5333
"gueret";"Guéret";"23000";1.86667;46.1667
"souterraine";"La Souterraine";"23300";1.48333;46.2333
"boulazac";"Boulazac";"24750";0.772222;45.1712
"coulounieix-chamiers";"Coulounieix-Chamiers";"24660";0.7;45.1667
"perigueux";"Périgueux";"24000";0.716667;45.1833
"sarlat-la-caneda";"Sarlat-la-Canéda";"24200";1.21667;44.8833
"bergerac";"Bergerac";"24100";0.483333;44.85
"trelissac";"Trélissac";"24750";0.783333;45.1833
"montpon-menesterol";"Montpon-Ménestérol";"24700";0.166667;45
"saint-astier-24";"Saint-Astier";"24110";0.528056;45.1453
"terrasson-lavilledieu";"Terrasson-Lavilledieu";"24120";1.30194;45.1308
"morteau";"Morteau";"25500";6.61667;47.0667
"bethoncourt";"Bethoncourt";"25200";6.8;47.5333
"valdahon";"Valdahon";"25800";6.34473;47.1498
"grand-charmont";"Grand-Charmont";"25200";6.83333;47.5333
"valentigney";"Valentigney";"25700";6.83333;47.4667
"pontarlier";"Pontarlier";"25300";6.36667;46.9
"seloncourt";"Seloncourt";"25230";6.86667;47.4667
"baume-les-dames";"Baume-les-Dames";"25110";6.36667;47.35
"montbeliard";"Montbéliard";"25200";6.8;47.5167
"audincourt";"Audincourt";"25400";6.83333;47.4833
"besancon";"Besançon";"25000";6.03333;47.25
"nyons";"Nyons";"26110";5.13333;44.3667
"romans-sur-isere";"Romans-sur-Isère";"26100";5.05;45.05
"valence-26";"Valence";"26000";4.9;44.9333
"crest-26";"Crest";"26400";5.03333;44.7333
"livron-sur-drome";"Livron-sur-Drôme";"26250";4.85;44.7667
"montelimar";"Montélimar";"26200";4.75;44.5667
"tain-l-hermitage";"Tain-l'Hermitage";"26600";4.85;45.0667
"saint-rambert-d-albon";"Saint-Rambert-d'Albon";"26140";4.81667;45.2833
"saint-marcel-les-valence";"Saint-Marcel-lès-Valence";"26320";4.95;44.9667
"bourg-les-valence";"Bourg-lès-Valence";"26500";4.88333;44.95
"loriol-sur-drome";"Loriol-sur-Drôme";"26270";4.81667;44.75
"saint-paul-trois-chateaux";"Saint-Paul-Trois-Châteaux";"26130";4.76667;44.35
"portes-les-valence";"Portes-lès-Valence";"26800";4.88333;44.8667
"donzere";"Donzère";"26290";4.71667;44.45
"pierrelatte";"Pierrelatte";"26700";4.7;44.3833
"bourg-de-peage";"Bourg-de-Péage";"26300";5.05;45.0333
"chabeuil";"Chabeuil";"26120";5.01667;44.9
"gisors";"Gisors";"27140";1.78333;49.2833
"louviers";"Louviers";"27400";1.16667;49.2167
"bernay";"Bernay";"27300";0.6;49.1
"pont-audemer";"Pont-Audemer";"27500";0.516667;49.35
"vernon-27";"Vernon";"27200";1.48333;49.0833
"andelys";"Andelys";"27700";1.41667;49.25
"val-de-reuil";"Val-de-Reuil";"27100";1.21028;49.2745
"gaillon";"Gaillon";"27600";1.33333;49.1667
"evreux";"Évreux";"27000";1.15;49.0167
"verneuil-sur-avre";"Verneuil-sur-Avre";"27130";0.933333;48.7333
"epernon";"Épernon";"28230";1.68333;48.6167
"leves";"Lèves";"28300";1.48333;48.4667
"luce-28";"Lucé";"28110";1.46667;48.4333
"chartres";"Chartres";"28000";1.5;48.45
"dreux";"Dreux";"28100";1.36667;48.7333
"vernouillet-28";"Vernouillet";"28500";1.36667;48.7167
"chateaudun";"Châteaudun";"28200";1.33333;48.0833
"mainvilliers-28";"Mainvilliers";"28300";1.46667;48.45
"nogent-le-rotrou";"Nogent-le-Rotrou";"28400";0.833333;48.3167
"luisant";"Luisant";"28600";1.48333;48.4167
"relecq-kerhuon";"Le Relecq-Kerhuon";"29480";-4.4;48.4
"guilers";"Guilers";"29820";-4.56667;48.4333
"lannilis";"Lannilis";"29870";-4.51667;48.5667
"briec";"Briec";"29510";-4;48.1
"quimperle";"Quimperlé";"29300";-3.55;47.8667
"plougastel-daoulas";"Plougastel-Daoulas";"29470";-4.36667;48.3667
"saint-pol-de-leon";"Saint-Pol-de-Léon";"29250";-3.98333;48.6833
"plouguerneau";"Plouguerneau";"29880";-4.5;48.6
"fouesnant";"Fouesnant";"29170";-4.01667;47.9
"scaer";"Scaër";"29390";-3.7;48.0333
"chateaulin";"Châteaulin";"29150";-4.08333;48.2
"pont-l-abbe";"Pont-l'Abbé";"29120";-4.21667;47.8667
"guipavas";"Guipavas";"29490";-4.4;48.4333
"saint-renan";"Saint-Renan";"29290";-4.61667;48.4333
"concarneau";"Concarneau";"29900";-3.91667;47.8667
"gouesnou";"Gouesnou";"29850";-4.46667;48.45
"lesneven";"Lesneven";"29260";-4.31667;48.5667
"landivisiau";"Landivisiau";"29400";-4.06667;48.5167
"tregunc";"Trégunc";"29910";-3.85;47.85
"crozon";"Crozon";"29160";-4.48333;48.25
"plabennec";"Plabennec";"29860";-4.43333;48.5
"morlaix";"Morlaix";"29600";-3.83333;48.5833
"plouzane";"Plouzané";"29280";-4.61667;48.3833
"rosporden";"Rosporden";"29140";-3.83333;47.9667
"bannalec";"Bannalec";"29380";-3.7;47.9333
"ergue-gaberic";"Ergué-Gabéric";"29500";-4.03333;48
"quimper";"Quimper";"29000";-4.1;48
"penmarch";"Penmarch";"29760";3.66223;47.8123
"douarnenez";"Douarnenez";"29100";-4.33333;48.1
"landerneau";"Landerneau";"29800";-4.25;48.45
"moelan-sur-mer";"Moëlan-sur-Mer";"29350";-3.63333;47.8167
"ploneour-lanvern";"Plonéour-Lanvern";"29720";-4.28333;47.9
"carhaix-plouguer";"Carhaix-Plouguer";"29270";-3.58333;48.2833
"brest";"Brest";"29200";-4.48333;48.4
"ploudalmezeau";"Ploudalmézeau";"29830";-4.65;48.5333
"grau-du-roi";"Le Grau-du-Roi";"30240";4.14167;43.5333
"roquemaure-30";"Roquemaure";"30150";4.78333;44.05
"beaucaire-30";"Beaucaire";"30300";4.63333;43.8
"aigues-mortes";"Aigues-Mortes";"30220";4.19167;43.5667
"manduel";"Manduel";"30129";4.46667;43.8167
"angles-30";"Angles";"30133";4.76667;43.9545
"pont-saint-esprit";"Pont-Saint-Esprit";"30130";4.65;44.25
"rochefort-du-gard";"Rochefort-du-Gard";"30650";4.68333;43.9667
"grand-combe";"La Grand-Combe";"30110";4.03333;44.2167
"saint-gilles-30";"Saint-Gilles";"30800";4.43333;43.6833
"nîmes";"Nîmes";"30000-30900";4.35;43.8333
"bagnols-sur-ceze";"Bagnols-sur-Cèze";"30200";4.61667;44.1667
"milhaud";"Milhaud";"30540";4.3;43.7833
"uzes";"Uzès";"30700";4.41667;44.0167
"marguerittes";"Marguerittes";"30320";4.45;43.85
"ales";"Alès";"30100";4.08333;44.1333
"vauvert";"Vauvert";"30600";4.28333;43.7
"villeneuve-les-avignon";"Villeneuve-lès-Avignon";"30400";4.79584;43.9664
"saint-christol-les-ales";"Saint-Christol-lès-Alès";"30380";4.08333;44.0833
"bellegarde-30";"Bellegarde";"30127";4.51667;43.75
"bouillargues";"Bouillargues";"30230";4.43333;43.8
"laudun-l-ardoise";"Laudun-l'Ardoise";"30290";4.66667;44.1
"beauzelle";"Beauzelle";"31700";1.36667;43.6667
"saint-gaudens";"Saint-Gaudens";"31800";0.733333;43.1167
"leguevin";"Léguevin";"31490";1.25;43.6
"colomiers";"Colomiers";"31770";1.35;43.6167
"muret";"Muret";"31600";1.35;43.4667
"saint-lys";"Saint-Lys";"31470";1.2;43.5167
"ramonville-saint-agne";"Ramonville-Saint-Agne";"31520";1.46667;43.55
"cornebarrieu";"Cornebarrieu";"31700";1.33333;43.65
"fenouillet-31";"Fenouillet";"31150";1.4;43.6833
"castanet-tolosan";"Castanet-Tolosan";"31320";1.5;43.5167
"tournefeuille";"Tournefeuille";"31170";1.35;43.5833
"portet-sur-garonne";"Portet-sur-Garonne";"31120";1.41667;43.5167
"carbonne";"Carbonne";"31390";1.23333;43.3
"castelginest";"Castelginest";"31780";1.43333;43.7
"salvetat-saint-gilles";"La Salvetat-Saint-Gilles";"31880";1.27139;43.5762
"villemur-sur-tarn";"Villemur-sur-Tarn";"31340";1.51667;43.8667
"pibrac";"Pibrac";"31820";1.3;43.6167
"blagnac";"Blagnac";"31700";1.4;43.6333
"toulouse";"Toulouse";"31000-31100-31200-31300-31400-31500";1.43333;43.6
"frouzins";"Frouzins";"31270";1.31667;43.5167
"auterive-31";"Auterive";"31190";1.48333;43.35
"escalquens";"Escalquens";"31750";1.56667;43.5167
"seysses";"Seysses";"31600";1.31667;43.5
"aussonne";"Aussonne";"31840";1.31667;43.6833
"villeneuve-tolosane";"Villeneuve-Tolosane";"31270";1.33333;43.5167
"saint-jean";"Saint-Jean";"31240";1.5;43.6667
"aucamville-31";"Aucamville";"31140";1.43056;43.6687
"union";"L'Union";"31240";1.48333;43.6667
"saint-jory";"Saint-Jory";"31790";1.38333;43.7333
"castelnau-d-estretefonds";"Castelnau-d'Estrétefonds";"31620";1.36667;43.7833
"saint-orens-de-gameville";"Saint-Orens-de-Gameville";"31650";1.53333;43.55
"fonsorbes";"Fonsorbes";"31470";1.23333;43.5333
"cugnaux";"Cugnaux";"31270";1.36667;43.5333
"balma";"Balma";"31130";1.5;43.6167
"saint-alban-31";"Saint-Alban";"31140";1.41667;43.7
"launaguet";"Launaguet";"31140";1.45;43.6833
"plaisance-du-touch";"Plaisance-du-Touch";"31830";1.3;43.5667
"revel-31";"Revel";"31250";2;43.4667
"grenade";"Grenade";"31330";1.29361;43.7722
"fronton";"Fronton";"31620";1.4;43.85
"eaunes";"Eaunes";"31600";1.35;43.4167
"isle-jourdain-32";"L'Isle-Jourdain";"32600";1.08333;43.6167
"auch";"Auch";"32810";0.583333;43.65
"condom";"Condom";"32100";0.366667;43.9667
"fleurance";"Fleurance";"32500";0.666667;43.8333
"saint-jean-d-illac";"Saint-Jean-d'Illac";"33127";-0.783333;44.8167
"canejan";"Canéjan";"33610";-0.654722;44.7631
"bouscat";"Le Bouscat";"33110";-0.616667;44.8667
"libourne";"Libourne";"33500";-0.233333;44.9167
"floirac-33";"Floirac";"33270";-0.533333;44.8333
"langon-33";"Langon";"33210";-0.25;44.55
"gradignan";"Gradignan";"33170";-0.616667;44.7667
"coutras";"Coutras";"33230";-0.133333;45.0333
"biganos";"Biganos";"33380";-0.983333;44.65
"bordeaux";"Bordeaux";"33000-33100-33200-33300-33800";-0.566667;44.8333
"begles";"Bègles";"33130";-0.533333;44.8
"parempuyre";"Parempuyre";"33290";-0.583333;44.95
"audenge";"Audenge";"33980";-1;44.6833
"bassens-33";"Bassens";"33530";-0.516667;44.9
"saint-aubin-de-medoc";"Saint-Aubin-de-Médoc";"33160";-0.716667;44.75
"haillan";"Le Haillan";"33185";-0.683333;44.8667
"lesparre-medoc";"Lesparre-Médoc";"33340";-0.933333;45.3
"teste-de-buch";"La Teste-de-Buch";"33260";-1.13704;44.6343
"eysines";"Eysines";"33320";-0.65;44.8833
"pauillac";"Pauillac";"33250";-0.75;45.2
"arcachon";"Arcachon";"33120";-1.16355;44.6589
"gujan-mestras";"Gujan-Mestras";"33470";-1.06667;44.6333
"saint-loubes";"Saint-Loubès";"33450";-0.433333;44.9167
"andernos-les-bains";"Andernos-les-Bains";"33510";-1.1;44.7429
"saint-medard-en-jalles";"Saint-Médard-en-Jalles";"33160";-0.733333;44.9
"teich";"Le Teich";"33470";-1.01667;44.6333
